123,TYPE,FIELD,BITS,UNIT,CONVERSION,MODULE,MODULE_NUM,MODULE_LINE,LINE_TYPE,SHORT_NAME,DESCRIPTION
0,realtimeDownlink,ReflectedPwr,8,mW,icr_8bit_volts|txv2_ref_pwr,AMSAT Transmitter,2,4,3,Ref Power,Reflected Power from the Transmit Antenna
1,realtimeDownlink,ICR3VProt,8,V,icr_8bit_volts,AMSAT Cmd Receiver,3,3,3,3.3V Prot,ICR 3V Protected
2,realtimeDownlink,ICRTemp,8,C,8_bit_temp,AMSAT Cmd Receiver,3,4,3,ICR Temp,ICR Temperature
3,realtimeDownlink,gTemp,8,C,8_bit_temp,AMSAT Gyro,4,10,3,Gyro Temp,Gyro temperature
4,realtimeDownlink,Xspin,8,dps,8_bit_spin,AMSAT Gyro,4,1,3,X Rotation,Angular Velocity around X Axis
5,realtimeDownlink,Yspin,8,dps,8_bit_spin,AMSAT Gyro,4,2,3,Y Rotation,Angular Veolcity around Y Axis
6,realtimeDownlink,Zspin,8,dps,8_bit_spin,AMSAT Gyro,4,3,3,Z Rotation,Angular Veolcity around Z Axis
7,realtimeDownlink,Xaccel,8,g,8_bit_accel,AMSAT Gyro,4,4,3,X Acceleration,Acceleration along X axis
8,realtimeDownlink,Yaccel,8,g,8_bit_accel,AMSAT Gyro,4,5,3,Y Acceleration,Acceleration along Y  axis
9,realtimeDownlink,Zaccel,8,g,8_bit_accel,AMSAT Gyro,4,6,3,Z Acceleration,Acceleration along Z axis
10,realtimeDownlink,Xmag,8,uT,8_bit_mag,AMSAT Gyro,4,7,3,X Magnetometer,Angular Veolcity around X Axis
11,realtimeDownlink,Ymag,8,uT,8_bit_mag,AMSAT Gyro,4,8,3,Y Magnetometer,Angular Veolcity around Y Axis
12,realtimeDownlink,Zmag,8,uT,8_bit_mag,AMSAT Gyro,4,9,3,Z Magnetometer,Angular Veolcity around Z Axis
13,realtimeDownlink,busV,8,V,golf-t_bus_voltage,AMSAT LTM Status,1,1,3,Bus Voltage,Vbatt Bus voltage
14,realtimeDownlink,TxPAi,8,mA,golf-t_tx_current,AMSAT Transmitter,2,1,3,PA Current,Transmit power amplifier current
15,realtimeDownlink,TxTemp,8,C,8_bit_temp,AMSAT Transmitter,2,2,3,TX Temperature,Transmitter card temperature
16,realtimeDownlink,FwdPower,8,mW,icr_8bit_volts|txv2_fwd_pwr|dBm_to_mW,AMSAT Transmitter,2,3,3,Fwd Power,Receiver card temperature
17,realtimeDownlink,rssi,8,dBm,icr_8bit_volts|icrv2_rssi ,AMSAT Cmd Receiver,3,1,3,ICR RSSI,Received Signal Strength Indication
18,realtimeDownlink,LtVGACtl,8,V,icr_8bit_volts,AMSAT Transmitter,2,5,3,VGA Control,Control Voltage to the Variable Gain Amplifier (VGA)
19,realtimeDownlink,IHUcpuTemp,8,C,8_bit_temp,AMSAT LTM Status,1,2,3,IHU Temp,Internal Temperature of IHU
20,realtimeDownlink,moduTemp,8,C,8_bit_temp,AMSAT Transmitter,2,7,3,Modulator Temp,Internal Temperature of  the telemetry modulator
21,realtimeDownlink,hostCANVolts0,8,V,10_volt_8_bit|INVALID_BYTE,Host CAN Data,7,1,3,CAN Volts 1,Host Volts 0
22,realtimeDownlink,hostCANVolts1,8,V,10_volt_8_bit|INVALID_BYTE,Host CAN Data,7,2,3,CAN Volts 2,Host Volts 1
23,realtimeDownlink,hostCANVolts2,8,V,10_volt_8_bit|INVALID_BYTE,Host CAN Data,7,3,3,CAN Volts 3,Host Volts 2
24,realtimeDownlink,hostCANVolts3,8,V,10_volt_8_bit|INVALID_BYTE,Host CAN Data,7,4,3,CAN Volts 4,Host Volts 3
25,realtimeDownlink,hostCANVolts4,8,V,10_volt_8_bit|INVALID_BYTE,Host CAN Data,7,5,3,CAN Volts 5,Host Volts 4
